t,sigma(t),X(t)
0.081,0.029069410501120156,0.9459629610225436
0.082,0.029487284294749085,0.9478789239822993
0.083,0.031123880266973034,0.9555807142956623
0.084,0.03057223535750983,0.9529133384514599
0.085,0.029706451413876265,0.9487487868045832
0.08600000000000001,0.029190380504442913,0.9462490635611185
0.08700000000000001,0.03021195852297887,0.9510235957995692
0.088,0.030602721411451858,0.9528371919196326
0.089,0.03004478945545163,0.9501400728995072
0.09,0.030637330952068467,0.9529081913436668
0.091,0.030772885746036073,0.9535155120701101
0.092,0.031875246044562544,0.9587344788954012
0.093,0.031106887692146163,0.9550302518940021
0.094,0.030768069413227305,0.9533804485185683
0.095,0.030360768475525705,0.9514021996782276
0.096,0.028776874941930146,0.9438251791474668
0.097,0.029128246323422098,0.9454188374305232
0.098,0.029442647727987464,0.9468454089553937
0.099,0.02947986901837432,0.9469663648279381
0.1,0.029256689520273167,0.9458549109214182
0.101,0.027757786860265428,0.9387083500080508
0.10200000000000001,0.027351273977243906,0.9367218576392081
0.10300000000000001,0.027030751426281096,0.9351366023561543
0.10400000000000001,0.026235433514993314,0.9313295412839215
0.105,0.026111504401069126,0.9306532898030795
0.106,0.026566105154065982,0.9326678529518838
0.107,0.028550774698388688,0.9418283667228502
0.108,0.028771686437749903,0.942801106195394
0.109,0.02908166755049478,0.9441978479892833
0.11,0.029034129022751282,0.9439132029060855
0.111,0.026999231108410394,0.9342484967308622
0.112,0.027010679779792244,0.9342132118687759
0.113,0.027112253188753092,0.9345990673746479
0.114,0.029716108579313425,0.9466796582371109
0.115,0.02953723877518104,0.9457816309154774
0.116,0.02989639799971668,0.947426207753641
0.117,0.029888749681432958,0.9473411330285634
0.11800000000000001,0.028641236742777364,0.9413830834880004
0.11900000000000001,0.029898533617425456,0.947234817626234
0.12,0.03075114523758673,0.9512241312606441
0.121,0.03165620500716598,0.9554918611315071
0.122,0.030657923656267336,0.950698575365006
0.123,0.03223939302244204,0.9581779261095069
0.124,0.030670739960478356,0.9506469595791428
0.125,0.03134874439072668,0.9538317060357091
0.126,0.03382756815265251,0.9656252150668533
0.127,0.03269386443510625,0.9601587092705203
0.128,0.03206818119438946,0.9571457233319469
0.129,0.032204839344767526,0.9577815681285237
0.13,0.03165678692954384,0.9551407828590459
0.131,0.029936874724120016,0.94690297133969
0.132,0.03004209201501534,0.9473528824153791
0.133,0.028907454239853077,0.9419316010771479
0.134,0.02944999200128037,0.9444242352577675
0.135,0.028483738554877226,0.9398064565718286
0.136,0.030172692247215756,0.9476745392891132
0.137,0.029341697190508217,0.9436920461152517
0.138,0.02902476368367452,0.9421401048383352
