t,X(t)
0.0,0.5
0.001,0.5068122442086707
0.002,0.5075801171436674
0.003,0.5158018897765851
0.004,0.5323032139793211
0.005,0.5320849303795612
0.006,0.5318674573832818
0.007,0.5488535832325239
0.008,0.5580875475817392
0.009000000000000001,0.5555594598510039
0.01,0.5626399579868465
0.011,0.5601556718609632
0.012,0.5576569044592075
0.013000000000000001,0.5618793894037604
0.014,0.5456427811095805
0.015,0.5312418453841058
0.016,0.5279137919710235
0.017,0.5203214909190399
0.018000000000000002,0.5253417384051834
0.019,0.5187514404432205
0.02,0.5073968967895738
0.021,0.5233790711780468
0.022,0.5232670319108406
0.023,0.5259378596144557
0.024,0.5144436979537276
0.025,0.5113358988748237
0.026000000000000002,0.5144541952605418
0.027,0.5055915488441207
0.028,0.5112389585487405
0.029,0.507607082740205
0.03,0.5069170116062384
0.031,0.5032879704379338
0.032,0.5229503602964897
0.033,0.524853463298811
0.034,0.516844575984255
0.035,0.5266973884563896
0.036000000000000004,0.517135356488435
0.037,0.5211654044604876
0.038,0.504610845084973
0.039,0.49409673333678167
0.04,0.4980820328017975
0.041,0.5071934958094935
0.042,0.5108976575838704
0.043000000000000003,0.5118678286716193
0.044,0.511075704715736
0.045,0.499115986420969
0.046,0.4943895966846816
0.047,0.4921364248101868
0.048,0.5042887575358749
0.049,0.50963574058545
0.05,0.49498116587184365
0.051000000000000004,0.5001707528635357
0.052000000000000005,0.49861702932688357
0.053,0.49429933228117084
0.054,0.5022193050746959
0.055,0.5140935674323716
0.056,0.5249861856781948
0.057,0.5190497106440338
0.058,0.5181591153468961
0.059000000000000004,0.52334727884713
0.06,0.5346320706965441
0.061,0.5320823285214553
0.062,0.5323247658329499
0.063,0.5238321764165643
0.064,0.5145124674344874
0.065,0.5242772268015853
0.066,0.5391708177537075
0.067,0.5404701573041079
0.068,0.5519690958249395
0.069,0.5573439691068253
0.07,0.5531517938351415
0.07100000000000001,0.5585208382029829
0.07200000000000001,0.5750363717123462
0.073,0.57657138694782
0.074,0.5932851858236909
0.075,0.5702522460122245
0.076,0.5799387410594545
0.077,0.5826247258340943
0.078,0.581640218862779
0.079,0.5843658173673444
0.08,0.5673569855851798
0.081,0.5671709241179975
0.082,0.5724572786668142
0.083,0.5883604407961597
0.084,0.5852786164742392
0.085,0.579452736848362
0.08600000000000001,0.5765542933685384
0.08700000000000001,0.587108897489073
0.088,0.5920663776661029
0.089,0.5888644319602484
0.09,0.5955671210766467
0.091,0.5983013782102383
0.092,0.6092958473181961
0.093,0.6044076993311802
0.094,0.6030860001743799
0.095,0.6011568776147975
0.096,0.589069285104551
0.097,0.5937113208598899
0.098,0.5980067746631611
0.099,0.5998612648482917
0.1,0.5994361921000413
0.101,0.5878104976884153
0.10200000000000001,0.5856564742742444
0.10300000000000001,0.5842482294731376
0.10400000000000001,0.5784844143275569
0.105,0.5788188704758569
0.106,0.5845155768586588
0.107,0.6042559607430508
0.108,0.6076993834132592
0.109,0.6119196228038701
0.11,0.6129776079665041
0.111,0.5965356130952617
0.112,0.5980944735479232
0.113,0.6004715840693707
0.114,0.6256385358288572
0.115,0.6255367238765233
0.116,0.6301208429773278
0.117,0.6315011756867445
0.11800000000000001,0.6221196188088032
0.11900000000000001,0.6346950291199915
0.12,0.6435244071262557
0.121,0.6526982218687181
0.122,0.6457129203049076
0.123,0.6606838568778465
0.124,0.6490026784109589
0.125,0.6562230856080338
0.126,0.6786349030244768
0.127,0.6708019456377653
0.128,0.6670171678228712
0.129,0.6695614921762685
0.13,0.6663764182593888
0.131,0.6532664040251092
0.132,0.6555570503036652
0.133,0.6471124812460642
0.134,0.6532640360925934
0.135,0.6461818198359107
0.136,0.662547243207543
0.137,0.6567290083120958
0.138,0.655303477473468
0.139,0.6646552690089989
0.14,0.6545842990102992
0.14100000000000001,0.6583784205226143
0.14200000000000002,0.6724039302526014
0.14300000000000002,0.658736793496599
0.14400000000000002,0.6621121736945513
0.145,0.6661913018370095
0.146,0.6752097509363887
0.147,0.665049376884362
0.148,0.654127277407375
0.149,0.6607164680337437
0.15,0.6651517626223756
0.151,0.6691326911685506
0.152,0.6740119893949378
0.153,0.6691386724705234
0.154,0.6729346084871831
0.155,0.6772961342670897
0.156,0.6720873132720853
0.157,0.691371342498783
0.158,0.6973924022526417
0.159,0.6875985277388305
0.16,0.695364346583471
0.161,0.6876316113291142
0.162,0.6966356566723586
0.163,0.7091371524523364
0.164,0.702824064910723
0.165,0.7134549811515373
0.166,0.7188305999194673
0.167,0.728072855557504
0.168,0.7474831952158636
0.169,0.7465127895582959
0.17,0.7407226820869949
0.171,0.7336618392131272
0.17200000000000001,0.7273213977782423
0.17300000000000001,0.7280079825451845
0.17400000000000002,0.732660410403604
0.17500000000000002,0.7366873485728795
0.176,0.7459246358550372
0.177,0.7474102087241483
0.178,0.76255741311944
0.179,0.7613589857060039
0.18,0.7884806993110415
0.181,0.7956508588427106
0.182,0.7887321956904833
0.183,0.7798066208342301
0.184,0.7856443361928405
0.185,0.7847674490625172
0.186,0.7927867501507795
0.187,0.7984979162047474
0.188,0.7990115067256056
0.189,0.7921810816331729
0.19,0.7790334357766968
0.191,0.7760603226958086
0.192,0.7854566540541739
0.193,0.7887313556847456
0.194,0.7781470458867122
0.195,0.7810555432680114
0.196,0.7859678182641807
0.197,0.7788249069335705
0.198,0.7815467966177855
0.199,0.7833543726178386
0.2,0.7737611411827877
0.201,0.7784341266893993
0.202,0.7850188934490382
0.203,0.7965385630220233
0.20400000000000001,0.8077461913951259
0.20500000000000002,0.7958532336247736
0.20600000000000002,0.788168684405289
0.20700000000000002,0.7942902319111514
0.20800000000000002,0.8003815627194522
0.209,0.8064665894082749
0.21,0.844197409810624
0.211,0.8506807605062935
0.212,0.8625016397915684
0.213,0.872564590265561
0.214,0.8797265365008647
0.215,0.8776964502235691
0.216,0.8858635751050622
0.217,0.879474320646306
0.218,0.8781892391155488
0.219,0.874550108485122
0.22,0.8763031844454473
0.221,0.8992330541210379
0.222,0.8824209219462461
0.223,0.88988409498766
0.224,0.8755148765877109
0.225,0.8720111931690252
0.226,0.8833258520269689
0.227,0.8848856882760303
0.228,0.8756066465073753
0.229,0.869793859747768
0.23,0.8772317085065952
0.231,0.8712711471314407
0.232,0.8743108401766063
0.233,0.8757202400898583
0.234,0.8705114557018132
0.23500000000000001,0.8918391608296783
0.23600000000000002,0.8987775272350853
0.23700000000000002,0.8804690051720512
0.23800000000000002,0.8831964590992472
0.23900000000000002,0.8778686120619328
0.24,0.8869218988999737
0.241,0.8803426213241763
0.242,0.8802131080032298
0.243,0.8859631986521875
0.244,0.8951185839853277
0.245,0.8846462166925332
0.246,0.8824189206862599
0.247,0.8788659370823432
0.248,0.8736313139603877
0.249,0.8913589895307779
0.25,0.8961269064142313
0.251,0.8850767302124132
0.252,0.8947291030126459
0.253,0.9157774571032108
0.254,0.9264249502169236
0.255,0.9128316662636714
0.256,0.9090993234921285
0.257,0.9219909999951255
0.258,0.9161114849694114
0.259,0.9211735913028297
0.26,0.9293588944148171
0.261,0.9213771831631705
0.262,0.9216483445026177
0.263,0.8917340375687084
0.264,0.8829406409953702
0.265,0.8814957472039222
0.266,0.8706137493191267
0.267,0.8870883214670574
0.268,0.8744595441114342
0.269,0.8712615369298136
0.27,0.873488066339512
0.271,0.888140721113127
0.272,0.8754545145385195
0.273,0.8874628912405758
0.274,0.8884975819076262
0.275,0.8801206805204905
0.276,0.8854642169589759
0.277,0.8882962703931546
0.278,0.8835372243162892
0.279,0.8851488133653317
0.28,0.8824379611866905
0.281,0.8844675673979193
0.28200000000000003,0.8916956878161759
0.28300000000000003,0.9076668773917709
0.28400000000000003,0.8968009278615446
0.28500000000000003,0.9179462564451673
0.28600000000000003,0.90027328675848
0.28700000000000003,0.8997325070526718
0.28800000000000003,0.9062145766089903
0.289,0.9097616557972458
0.29,0.9047249244882754
0.291,0.9036363286861442
0.292,0.8998484021737444
0.293,0.8951576519534974
0.294,0.9041322121919623
0.295,0.9084067618421906
0.296,0.9027080239558368
0.297,0.9121342536514877
0.298,0.9159131501200789
0.299,0.9244768978273233
0.3,0.9312766507968796
0.301,0.9242182836341993
0.302,0.9197312848161024
0.303,0.9276615405808581
0.304,0.9342690367235494
0.305,0.9348679396824147
0.306,0.9367764011528574
0.307,0.9496870654207982
0.308,0.9448258652626047
0.309,0.9507816091460488
0.31,0.9496110963950849
0.311,0.9482971578878876
0.312,0.9594761788918716
0.313,0.9680283373974239
0.314,0.9764418824300012
0.315,0.9894974161857734
0.316,0.9903281838747351
0.317,0.9974267732623454
0.318,0.9950910440433532
0.319,0.9987810829551805
0.32,0.998150094285956
0.321,0.9996758285227669
0.322,1.005922956334693
0.323,0.9987428645026583
0.324,1.0191967645241125
0.325,1.0101952553567675
0.326,0.9992458650143486
0.327,1.0108349318491077
0.328,1.0189127988080835
0.329,1.0253769808758564
0.33,1.0318618588336694
0.331,1.0322500901686196
0.332,1.0242412375347996
0.333,1.02548765900494
0.334,1.0195870759700167
0.335,1.0293791127890357
0.336,1.0284958666338075
0.337,1.0211790250020603
0.338,1.018666554124993
0.339,1.0231279662017279
0.34,1.0183106216236613
0.341,1.0110554221928867
0.342,1.0139340758012167
0.343,1.0168162305197286
0.34400000000000003,1.0125564965928167
0.34500000000000003,1.0086501653702171
0.34600000000000003,1.011425633872955
0.34700000000000003,0.9982536226818662
0.34800000000000003,0.9855064880601989
0.34900000000000003,0.9793342082631874
0.35000000000000003,0.9779712681599431
0.35100000000000003,0.981586882502667
0.352,0.9962385798721093
0.353,1.0049863377319335
0.354,1.0040540685978272
0.355,1.0044615028037385
0.356,0.9955372896549565
0.357,0.9959750467568864
0.358,0.9938486653208005
0.359,0.9975286964064747
0.36,0.9902883085194687
0.361,0.9958443972335238
0.362,1.0109977021121996
0.363,1.010532919642518
0.364,1.014912292897454
0.365,1.0220148368006243
0.366,1.0187424806850822
0.367,1.0214121811901493
0.368,1.0220674066496194
0.369,1.0235278412627908
0.37,1.0167238430272691
0.371,1.017506195427705
0.372,1.0227781034550445
0.373,1.0370765261825585
0.374,1.0466657387141522
0.375,1.0675526238489754
0.376,1.060670267810312
0.377,1.0693638171928979
0.378,1.0714950607280698
0.379,1.092654870233542
0.38,1.0853087147912484
0.381,1.0776864877800234
0.382,1.0723670903996128
0.383,1.0526009451238778
0.384,1.048055392209159
0.385,1.0413094612623253
0.386,1.043212293612144
0.387,1.046924838593595
0.388,1.0651829834723496
0.389,1.0746039467354942
0.39,1.0695071462681756
0.391,1.0613755148950537
0.392,1.066458143370359
0.393,1.0543339370099265
0.394,1.072145678621239
0.395,1.083718393021165
0.396,1.0796162467920645
0.397,1.0637251769010667
0.398,1.0769779624609908
0.399,1.0762604081920832
0.4,1.088374583579744
0.401,1.0735833909305248
0.402,1.0682764700222842
0.403,1.0687213867156438
0.404,1.0695609196018678
0.405,1.0656825408848465
0.406,1.0719943665422915
0.40700000000000003,1.0622500467425366
0.40800000000000003,1.0613125662080618
0.40900000000000003,1.0628698530757728
0.41000000000000003,1.0681616388139468
0.41100000000000003,1.0753081253923769
0.41200000000000003,1.065012909328088
0.41300000000000003,1.050863985689309
0.41400000000000003,1.0634325003446548
0.41500000000000004,1.0669948103723528
0.41600000000000004,1.0602930591807669
0.417,1.0754276997223875
0.418,1.0768988025588377
0.419,1.088455901570755
0.42,1.0894310704222776
0.421,1.1093127485892886
0.422,1.1262374357396387
0.423,1.1240968421376654
0.424,1.133541682951667
0.425,1.1398636317461612
0.426,1.1530280198490808
0.427,1.144014868080039
0.428,1.1506912790928359
0.429,1.1608803015847762
0.43,1.1443127929161063
0.431,1.1332544786549368
0.432,1.1141088601400901
0.433,1.111810715917488
0.434,1.1188824873069265
0.435,1.1333784502753248
0.436,1.1342812397310684
0.437,1.1499287996821643
0.438,1.1369862212528816
0.439,1.1210155578850352
0.44,1.1207255394694964
0.441,1.124606927618758
0.442,1.1245229372213934
0.443,1.1051358905097861
0.444,1.1045750159081829
0.445,1.0924860065810058
0.446,1.0991616201836425
0.447,1.1029419916547585
0.448,1.0943166831251538
0.449,1.0897587634567982
0.45,1.0800409053935747
0.451,1.0798061565501946
0.452,1.0892280137477512
0.453,1.080208911340389
0.454,1.0853500897134911
0.455,1.0806635739822108
0.456,1.0734997311258112
0.457,1.0728638527837016
0.458,1.0634240902182077
0.459,1.0585814394579516
0.46,1.0476416276415477
0.461,1.0667377219472016
0.462,1.067472048209215
0.463,1.0612314530380624
0.464,1.0636777503532673
0.465,1.0630210796557646
0.466,1.0613357147322566
0.467,1.0675782044935598
0.468,1.075161819006743
0.46900000000000003,1.0705035577663755
0.47000000000000003,1.0654293556169518
0.47100000000000003,1.063223698038219
0.47200000000000003,1.0417960853199681
0.47300000000000003,1.0278963325233765
0.47400000000000003,1.0413799514064028
0.47500000000000003,1.0574613455084938
0.47600000000000003,1.0555263981585705
0.47700000000000004,1.0614295185763523
0.47800000000000004,1.0647980082519342
0.47900000000000004,1.094412442223876
0.48,1.1053504250911481
0.481,1.104420840990228
0.482,1.0956425259011628
0.483,1.0807155103910289
0.484,1.0830035893909344
0.485,1.076179205427569
0.486,1.0630579844124293
0.487,1.0573348814966597
0.488,1.047502411581481
0.489,1.0639655352531265
0.49,1.0727376077705197
0.491,1.073043759830624
0.492,1.087464611417259
0.493,1.0885361977956447
0.494,1.0806997298355085
0.495,1.0955072543756452
0.496,1.1009332821884712
0.497,1.0913903013161392
0.498,1.0899104191634814
0.499,1.081933843781448
0.5,1.0691696521569576
0.501,1.0759670705020716
0.502,1.089498659595066
0.503,1.0804064468312315
0.504,1.0847934697084012
0.505,1.0808719142799903
0.506,1.0780823444462024
0.507,1.0745822119637938
0.508,1.0692476017873982
0.509,1.0701103538546255
0.51,1.0650215618007515
0.511,1.067375812365099
0.512,1.0675703590025662
0.513,1.0664907890021018
0.514,1.0609024448967812
0.515,1.057562912642107
0.516,1.0631442152924464
0.517,1.067043911692727
0.518,1.0609803255865948
0.519,1.0621773582423706
0.52,1.0677561149347925
0.521,1.0570163612067014
0.522,1.061177318369305
0.523,1.0572607244647136
0.524,1.0616047791923275
0.525,1.0570109236269694
0.526,1.0454735683309415
0.527,1.035234741565035
0.528,1.0360671902863796
0.529,1.0382870982362142
0.53,1.0328678620130993
0.531,1.0375558564361087
0.532,1.0271716077711373
0.533,1.027255912529448
0.534,1.0199016447152403
0.535,1.0162069760204313
0.536,1.017019713481938
0.537,1.011993874693339
0.538,1.0100385580013238
0.539,1.0169718207628524
0.54,1.0137697990076862
0.541,1.019634843534675
0.542,1.0128594785924905
0.543,1.0167597733940394
0.544,1.0265382373251213
0.545,1.0110046069547622
0.546,1.0064146378220082
0.547,1.010590981394506
0.548,1.0097985044692421
0.549,1.012673736678579
0.55,1.0093117229360016
0.551,1.0103691201881688
0.552,1.009879506136252
0.553,1.0178431152310943
0.554,1.0199898468203035
0.555,1.0226777105116187
0.556,1.0205250366646872
0.557,1.0178881096369061
0.558,1.0156123783189477
0.559,1.0186538676409949
0.56,1.0164509882748691
0.561,1.0188220605606062
0.562,1.0327045168790887
0.5630000000000001,1.0389105302784856
0.5640000000000001,1.0372877999604038
0.5650000000000001,1.0456868685447673
0.5660000000000001,1.0435109036844992
0.5670000000000001,1.030581562148155
0.5680000000000001,1.0245261764945097
0.5690000000000001,1.0129163206555822
0.5700000000000001,1.011170897209176
0.5710000000000001,1.011794271991999
0.5720000000000001,1.023027941020255
0.5730000000000001,1.025654739440691
0.5740000000000001,1.024746303278639
0.5750000000000001,1.0306341076515277
0.5760000000000001,1.0167365760500915
0.577,1.0187600417762468
0.578,1.0242362636846771
0.579,1.0151703383006794
0.58,1.0230213974069875
0.581,1.025723032471897
0.582,1.0235418207651472
0.583,1.0281498714648707
0.584,1.043429332750412
0.585,1.0451512240335072
0.586,1.0473145666968797
0.587,1.0447955097523203
0.588,1.0397022489431864
0.589,1.0456821014249906
0.59,1.0405432540961657
0.591,1.041534501224813
0.592,1.038908823007722
0.593,1.0425754796606896
0.594,1.045296877364587
0.595,1.0526787417256058
0.596,1.0498095321997456
0.597,1.04854258115798
0.598,1.0425761166993428
0.599,1.0401678103858865
0.6,1.043170002884207
0.601,1.0486858856815435
0.602,1.0430939930267895
0.603,1.049352422163592
0.604,1.0588740431314974
0.605,1.0621722154419488
0.606,1.0753111784054348
0.607,1.0705863980864563
0.608,1.0626941555731004
0.609,1.0512706029485663
0.61,1.0617431662202634
0.611,1.0666681381228638
0.612,1.0668264867934256
0.613,1.0692489052294483
0.614,1.062172383154168
0.615,1.079133463722996
0.616,1.0805549700988537
0.617,1.0818428548576233
0.618,1.0873495985229207
0.619,1.0912011751019828
0.62,1.093291880431329
0.621,1.0883727235755896
0.622,1.0921622498795285
0.623,1.1057083033616655
0.624,1.1156698323762841
0.625,1.1274693762611419
0.626,1.1243877636282527
0.627,1.1179126276465845
0.628,1.1175822326669185
0.629,1.1185348992020692
0.63,1.1268347355159205
0.631,1.1153364167659638
0.632,1.1266835434337257
0.633,1.1261209568829307
0.634,1.1236436789052051
0.635,1.117012933830133
0.636,1.1058805231496225
0.637,1.1121908852056182
0.638,1.1132627074982433
0.639,1.10473686401494
0.64,1.0962405566818618
0.641,1.0944606030512503
0.642,1.1065607613456738
0.643,1.1052972904206542
0.644,1.0953421974205095
0.645,1.0941874705849257
0.646,1.092847249257978
0.647,1.0747534049110568
0.648,1.0749217210885986
0.649,1.073889196202493
0.65,1.0791546850579048
0.651,1.0923137085512844
0.652,1.1006426255398107
0.653,1.0993211924644195
0.654,1.0921774907932418
0.655,1.110499157491347
0.656,1.111470322610397
0.657,1.1121239745028686
0.658,1.1125103481158196
0.659,1.1144603540596727
0.66,1.114000064758186
0.661,1.1105152975487862
0.662,1.1072296829838508
0.663,1.1075539353411135
0.664,1.1043011380068992
0.665,1.0998746213389978
0.666,1.1011649105033714
0.667,1.0999397351348355
0.668,1.11095242730123
0.669,1.0928814471449508
0.67,1.100972371409125
0.671,1.1101995489976262
0.672,1.0961963009716789
0.673,1.0943685617455077
0.674,1.0923448572558374
0.675,1.0831671007542614
0.676,1.0783802120010948
0.677,1.0713449690915393
0.678,1.083753641519738
0.679,1.090708901191964
0.68,1.1000257590303573
0.681,1.1055965698620542
0.682,1.098254579013333
0.683,1.0951604033033402
0.684,1.0990975887163965
0.685,1.0911517561925634
0.686,1.0966177696340311
0.687,1.0954992729411206
0.6880000000000001,1.0934500594625185
0.6890000000000001,1.098913488862012
0.6900000000000001,1.1025506374416536
0.6910000000000001,1.1005848442484494
0.6920000000000001,1.1092048949156499
0.6930000000000001,1.1021755919408132
0.6940000000000001,1.1070202254980062
0.6950000000000001,1.1117262810789121
0.6960000000000001,1.110105669230336
0.6970000000000001,1.1129504774616668
0.6980000000000001,1.1047004682494233
0.6990000000000001,1.1117087543025337
0.7000000000000001,1.1109645500139829
0.7010000000000001,1.1078471938625123
0.7020000000000001,1.1157511483679716
0.7030000000000001,1.1113387312226544
0.704,1.101994715878141
0.705,1.0916965892302282
0.706,1.0964266304896595
0.707,1.0880958205728786
0.708,1.1007158745811314
0.709,1.0867728009144881
0.71,1.0989765336673123
0.711,1.100992706833898
0.712,1.100869761812032
0.713,1.0976261911705372
0.714,1.1009458062008997
0.715,1.1012342289474049
0.716,1.1094691415470133
0.717,1.110825399987106
0.718,1.112436754209235
0.719,1.1104347178559535
0.72,1.1105900057690499
0.721,1.1133072966813722
0.722,1.10182235781505
0.723,1.0929783897316645
0.724,1.098662768004791
0.725,1.1003993670191758
0.726,1.0996691279264537
0.727,1.100347168987611
0.728,1.1033162354498809
0.729,1.100101458848557
0.73,1.095236335732695
0.731,1.0971405510284202
0.732,1.090900264892846
0.733,1.0942624382053086
0.734,1.0830264593611254
0.735,1.0906173395712184
0.736,1.0944224695745293
0.737,1.0967418508982478
0.738,1.1041065639948395
0.739,1.1162885970819554
0.74,1.1240082234417568
0.741,1.111483724743167
